g_m,energy,latency,w_a,w_0,w_m,d,g,g2,h,w,flops,params,acts,ws,ds,bs,gs
1.8000000000000007,0.647716,0.007827480000000001,61.7,88,2.274,20,48,80,1,1,3126324236,41288908,8286252,"[96, 192, 480, 1040]","[1, 3, 6, 10]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 80, 80]"
1.9000000000000008,0.614459,0.00812085,61.7,88,2.274,20,48,88,1,1,3108552900,42382772,8140324,"[96, 192, 440, 1056]","[1, 3, 6, 10]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 88, 88]"
2.000000000000001,0.666846,0.00772512,61.7,88,2.274,20,48,96,1,1,3321040080,44163952,8313104,"[96, 192, 480, 1056]","[1, 3, 6, 10]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 96, 96]"
1.0,0.743072,0.00898968,69.9,136,2.064,18,48,48,1,1,3732625776,41278960,10646192,"[144, 288, 576, 1200]","[1, 3, 6, 8]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 48, 48]"
1.1,0.71602,0.00868886,69.9,136,2.064,18,48,48,1,1,3732625776,41278960,10646192,"[144, 288, 576, 1200]","[1, 3, 6, 8]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 48, 48]"
1.2000000000000002,0.6993680000000001,0.00837414,69.9,136,2.064,18,48,56,1,1,3707140014,40654238,10543918,"[144, 288, 560, 1176]","[1, 3, 6, 8]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 56, 56]"
1.3000000000000003,0.708035,0.008418150000000001,69.9,136,2.064,18,48,56,1,1,3707140014,40654238,10543918,"[144, 288, 560, 1176]","[1, 3, 6, 8]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 56, 56]"
1.4000000000000004,0.747659,0.00876424,69.9,136,2.064,18,48,64,1,1,3932344332,43987884,10668300,"[144, 288, 576, 1216]","[1, 3, 6, 8]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 64, 64]"
1.5000000000000004,0.7702749999999999,0.00852092,69.9,136,2.064,18,48,72,1,1,4033022778,45359722,10679354,"[144, 288, 576, 1224]","[1, 3, 6, 8]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 72, 72]"
1.6000000000000005,0.741733,0.00817983,69.9,136,2.064,18,48,72,1,1,4033022778,45359722,10679354,"[144, 288, 576, 1224]","[1, 3, 6, 8]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 72, 72]"
1.7000000000000006,0.693064,0.00768724,69.9,136,2.064,18,48,80,1,1,4001172984,44664344,10577080,"[144, 288, 560, 1200]","[1, 3, 6, 8]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 80, 80]"
1.8000000000000007,0.7285969999999999,0.008020030000000001,69.9,136,2.064,18,48,80,1,1,4001172984,44664344,10577080,"[144, 288, 560, 1200]","[1, 3, 6, 8]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 80, 80]"
1.9000000000000008,0.726345,0.007634800000000001,69.9,136,2.064,18,48,88,1,1,4381357236,48689188,10863188,"[144, 288, 616, 1232]","[1, 3, 6, 8]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 88, 88]"
2.000000000000001,0.6943680000000001,0.0076332399999999995,69.9,136,2.064,18,48,96,1,1,4121998236,44378812,10579868,"[144, 288, 576, 1152]","[1, 3, 6, 8]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 96, 96]"
1.0,0.5888049999999999,0.0064566499999999995,38.6,104,2.198,20,48,48,1,1,3188699076,20355364,10901588,"[96, 240, 480, 1104]","[2, 5, 10, 3]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 48, 48]"
1.1,0.6188089999999999,0.00706942,38.6,104,2.198,20,48,48,1,1,3188699076,20355364,10901588,"[96, 240, 480, 1104]","[2, 5, 10, 3]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 48, 48]"
1.2000000000000002,0.629141,0.00683307,38.6,104,2.198,20,48,56,1,1,3403969416,21972024,11072072,"[96, 240, 504, 1120]","[2, 5, 10, 3]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 56, 56]"
1.3000000000000003,0.5494589999999999,0.00695404,38.6,104,2.198,20,48,56,1,1,3403969416,21972024,11072072,"[96, 240, 504, 1120]","[2, 5, 10, 3]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 56, 56]"
1.4000000000000004,0.593715,0.00655051,38.6,104,2.198,20,48,64,1,1,3506221980,22288764,11104988,"[96, 240, 512, 1088]","[2, 5, 10, 3]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 64, 64]"
1.5000000000000004,0.5952200000000001,0.006402,38.6,104,2.198,20,48,72,1,1,3539478876,22484524,11046452,"[96, 240, 504, 1080]","[2, 5, 10, 3]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 72, 72]"
1.6000000000000005,0.5863250000000001,0.0065619300000000005,38.6,104,2.198,20,48,72,1,1,3539478876,22484524,11046452,"[96, 240, 504, 1080]","[2, 5, 10, 3]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 72, 72]"
1.7000000000000006,0.619947,0.00711578,38.6,104,2.198,20,48,80,1,1,3518737020,22975260,10911836,"[96, 240, 480, 1120]","[2, 5, 10, 3]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 80, 80]"
1.8000000000000007,0.575307,0.006652910000000001,38.6,104,2.198,20,48,80,1,1,3518737020,22975260,10911836,"[96, 240, 480, 1120]","[2, 5, 10, 3]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 80, 80]"
1.9000000000000008,0.52255,0.00626421,38.6,104,2.198,20,48,88,1,1,3397392796,22676204,10660148,"[96, 240, 440, 1144]","[2, 5, 10, 3]","[1.0, 1.0, 1.0, 1.0]","[48, 48, 88, 88]"
